title,author,author code,year,figures,description,genre,magazine
Zpráva o diskusním salonu,"Brodský, Petr",av20191038199,1986,"Schopenhauer, Arthur;Heidegger, Martin;Štampach, Odilo Ivan",učené společnosti;polemiky;diskuse;společenské salony;argumentace;definice;filozofické myšlení,zprávy,Acta incognitorum [samizdat]
Několik problematických informací o Filipínách,,,1986,"Marcos, Ferdinand E.;Houška, Vojtěch;Kettner, Jiří",dějiny;vládní formy;politika;ostrovy;diktátoři,poznámky,Acta incognitorum [samizdat]
A svět se baví...,,,1986,"Marcos, Ferdinand E.;Aquino, Corazon",vládní formy;politika;ostrovy;diktátoři;prezidentky,články,Acta incognitorum [samizdat]
AIDS,A-es,,1986,,AIDS;virové nemoci;homosexuálové;terapie,referáty,Acta incognitorum [samizdat]
Poslední zbytky nebo nepatrné počátky? :,"Štampach, Odilo Ivan",jn19990218116,1986,,křesťanství;církev;letniční hnutí;náboženská víra,úvahy,Acta incognitorum [samizdat]
V předzvěsti Olomouce,"Seman, Václav",av20201067999,1986,,učené společnosti;členové institucí a organizací;společenské salony;divadelní představení,zprávy,Acta incognitorum [samizdat]
Dokumenty k Societas incognitorum eruditorum LIV,"Bělina, Pavel",jn20000400336,1986,"Bělina, Pavel;Petraš, Josef;Voltaire;Minář, Jaroslav;Černý, Jiří",učené společnosti;periodika;vědecké omyly;osvícenství,studie;úryvky;komentáře,Acta incognitorum [samizdat]
Dokumenty k SIE LV,"Hlobil, Ivo",jk01041313,1986,"Petraš, Josef",učené společnosti;společenský život;kulturní život;vzdělávání;osvícenství;periodika,stati;úryvky,Acta incognitorum [samizdat]
Olomouc v 18. století,"Křížek, Leonid",jn99240000595,1986,"Petraš, Josef",dějiny;osvícenství;jezuité;města;architektura;pevnosti;historické budovy;baroko;sběratelství,stati,Acta incognitorum [samizdat]
"Čínština kdysi, nyní a v roce 2000 - a jaká je skutečnost?","Kučerová, Libuše",,1986,,čínština;jazyky;písmo,glosy,Acta incognitorum [samizdat]
Dvě věci,"Kučera, Pavel",av20191056690,1986,"Urzidil, Johannes",církev;farnosti;senioři;stáří;domovy pro seniory;pohřby,glosy,Acta incognitorum [samizdat]
Kolem desátého výročí,"Seman, Václav",av20201067999,1986,,učené společnosti;členové institucí a organizací;společenské salony;společenský život;cesty a pobyt;pěší turistika;divadelní představení,zprávy,Acta incognitorum [samizdat]
Olomouc ’86 komorní,"Pavlovská, Stella",xx0177511,1986,"Etlík, Jaroslav;Fuka, Josef;Daněk, Oldřich;Pavlovský, Petr;Tarant, Michael",učené společnosti;společenský život;divadelní inscenace;členové institucí a organizací;cesty a pobyt;ubytovací zařízení;pohostinství;architektura;architektonické památky;divadelní představení;železniční doprava,deníky,Acta incognitorum [samizdat]
Hypofýza :,"Brodský, Petr",av20191038199,1986,,učené společnosti;členové institucí a organizací;společenský život;zájmová činnost,poznámky,Acta incognitorum [samizdat]
O různých způsobech zemdlévání,"Cieslar, Jiří",jn20000400416,1986,,učené společnosti;členové institucí a organizací;společenský život;zájmová činnost,poznámky,Acta incognitorum [samizdat]
Dozvuky jedenácté sezóny,"Seman, Václav",av20201067999,1986,,učené společnosti;členové institucí a organizací;společenské salony;společenský život;divadelní představení,zprávy,Acta incognitorum [samizdat]
Proslov k 10. výročí obnovení SIE,"Štampach, Odilo Ivan",jn19990218116,1986,,učené společnosti;členové institucí a organizací;společenský život;zájmová činnost;redakční práce,projevy,Acta incognitorum [samizdat]
Obsah XI. ročníku AI,"Frídová, Eva",av20221148369,1986,,časopisecké články;samizdatové časopisy;publicistika;literární tvorba,obsahy,Acta incognitorum [samizdat]
Bilanční zpráva o jedenácté sezóně,"Seman, Václav",av20201067999,1986,,samizdatové časopisy;redakční práce;časopisecké články;učené společnosti;společenský život;členové institucí a organizací;tabulky;časopisecké rubriky,zprávy;tabulky,Acta incognitorum [samizdat]
Procházka pěší zónou :,"Pavlovský, Petr",skuk0001560,1986,,obchody;restaurace;cestovní ruch;městský cestovní ruch;občanská vybavenost,reportáže;glosy,Acta incognitorum [samizdat]
O diakonii a jiném,"Kučera, Pavel",av20191056690,1986,"Ježíš Kristus;Luther, Martin",diakonie;charitativní činnost;církevní majetek;ústavy sociální péče;nemocnice,úvahy,Acta incognitorum [samizdat]
Societární obrození,"Seman, Václav",av20201067999,1986,,učené společnosti;členové institucí a organizací;společenské salony;společenský život;cesty a pobyt;pěší turistika;filmové festivaly a přehlídky,zprávy,Acta incognitorum [samizdat]
"Piky, piky na babu, že na hlavu nehraju...","Lokaj, Josef",,1986,,socialismus;ideologie;hudba;písně;hudba a společnost,glosy,Acta incognitorum [samizdat]
Muž z Páté avenue v Moskvě :,"Jelínek, Milan",jo2017967361,1986,"Mauri, Joseph",bezdomovci;nezaměstnaní;socialismus;kapitalismus;ideologie,články,Acta incognitorum [samizdat]
S novými tvářemi a pohledy do nové sezóny,"Kolínová, Blanka",js20081027001,1986,,,fotografie,Acta incognitorum [samizdat]
Jestliže se odvažuji,"Kučera, Pavel",av20191056690,1986,Ježíš Kristus,Vánoce;křesťanské svátky;Bůh a člověk;náboženská víra,úvodníky,Acta incognitorum [samizdat]
Co s Vánocemi?,"Štampach, Odilo Ivan",jn19990218116,1986,Ježíš Kristus,Vánoce;křesťanské svátky;Bůh a člověk;náboženská víra,úvahy,Acta incognitorum [samizdat]
"""Čas radosti, veselosti, světu nastal nyní...""","Kučerová, Libuše",,1986,Ježíš Kristus,Vánoce;křesťanské svátky;Bůh a člověk;náboženská víra,úvahy,Acta incognitorum [samizdat]
Vánoce,"Kučera, Pavel",av20191056690,1986,Ježíš Kristus;Mithra;Augustus,Vánoce;křesťanské svátky;Bůh a člověk;náboženská víra;pohanství;narození Ježíše Krista;evangelia,úvahy,Acta incognitorum [samizdat]
Filmy ze Světlé nad Sázavou 86,"Seman, Václav",av20201067999,1986,,filmové festivaly a přehlídky;filmy,tabulky;komentáře,Acta incognitorum [samizdat]
Přírůstky archívu za XI. sezónu,"Cieslar, Jiří",jn20000400416,1986,,archivy;archivnictví,zprávy,Acta incognitorum [samizdat]
Expo - Vancouver 86,"Cieslar, Jiří",jn20000400416,1987,,světové výstavy;výstavnictví;dějiny dopravy;doprava;mezinárodní vztahy,reportáže,Acta incognitorum [samizdat]
Z nových sbírek UPM - 1945-1986,"Frídová, Eva",av20221148369,1987,"Janák, František",výstavy;doplňování muzejních sbírek;muzejnictví;užité umění;design,recenze,Acta incognitorum [samizdat]
Poznámka k salonu u IP,"Brodský, Petr",av20191038199,1987,,učené společnosti;členové institucí a organizací;kosmologie;vzdělávání;přednášky;společenské salony;vzdělanost,poznámky,Acta incognitorum [samizdat]
Čínská hliněná armáda,"Kučerová, Libuše",,1987,,sochy;terakotová armáda;archeologické výzkumy;pohřební obřady;panovníci,články,Acta incognitorum [samizdat]
Pestrá zimní aktivita,"Seman, Václav",av20201067999,1987,,učené společnosti;členové institucí a organizací;společenské salony;společenský život;divadelní představení;cesty a pobyt,zprávy,Acta incognitorum [samizdat]
Chudí a církev,"Kučera, Pavel",av20191056690,1987,"Ježíš Kristus;Valdes, Petr;František",církev;chudoba;sociální konflikty;mnišské řády;žebravé řády;valdenští;charitativní činnost;teologie;marxismus,referáty,Acta incognitorum [samizdat]
Akce v předjaří,"Seman, Václav",av20201067999,1987,,učené společnosti;členové institucí a organizací;společenské salony;společenský život;divadelní představení,zprávy,Acta incognitorum [samizdat]
Oči,"Durych, Jaroslav",jk01023358,198u,,,české prózy,Jaroslav Durych : * 2. XII. 1886 [samizdat]
Město :,"Durych, Jaroslav",jk01023358,198u,,,české prózy;české romány;úryvky,Jaroslav Durych : * 2. XII. 1886 [samizdat]
Kniha Thel :,"Blake, William",jn19990000832,198u,,,anglická poezie,Jaroslav Durych : * 2. XII. 1886 [samizdat]
Česká ballada :,"Durych, Jaroslav",jk01023358,198u,"Durych, Jaroslav",časopisy,česká poezie;dopisy,Jaroslav Durych : * 2. XII. 1886 [samizdat]
100 let od narození Jaroslava Durycha,"Durych, Václav",jn20001103143,198u,"Durych, Jaroslav;Deml, Jakub;Florian, Josef;Březina, Otokar",čeští spisovatelé;čeští prozaici;čeští básníci;historický román;katolíci,úvody,Jaroslav Durych : * 2. XII. 1886 [samizdat]
Anatolij Ščaranskij rok po propuštění,,,1987,"Šaransky, Natan;Gorbačev, Michail Sergejevič",disidenti;političtí vězni;pracovní tábory;matematici;lidská práva;perestrojka;komunismus;ideologie;židovství;masmédia,články,Acta incognitorum [samizdat]
Ota Výborný: Čína otevřená světu - o proměnách této velké země,"Kučerová, Libuše",,1987,"Výborný, Ota",Číňané;životní podmínky;práce;průmysl;bydlení;rodinné vztahy;národní hospodářství;sociální politika;památky,recenze,Acta incognitorum [samizdat]
Richard Attenborough: Gándhí,"Kučera, Pavel",av20191056690,1987,"Attenborough, Richard;Kingsley, Ben;Gándhí, Mahátma",filmy;historické filmy;hinduismus;kolonialismus;hnutí za nezávislost;nenásilí,recenze,Acta incognitorum [samizdat]
Několik poznámek na okraj filozofie státu,"Štampach, Odilo Ivan",jn19990218116,1987,"Lenin, Vladimir Il‘jič;Arendt, Hannah",stát;násilí;národ (kategorie);politika a vláda;kmeny (etnografie);místní správa,eseje,Acta incognitorum [samizdat]
"Milý pane,","Kučera, Pavel",av20191056690,1987,,faráři;smutek;radost;společnost a politika;politická perzekuce,glosy,Acta incognitorum [samizdat]
Poněkud chladný průběh jara,"Seman, Václav",av20201067999,1987,,učené společnosti;členové institucí a organizací;step (tanec);společenské salony;cesty a pobyt;společenský život,zprávy,Acta incognitorum [samizdat]
Obsah XII. ročníku,"Frídová, Eva",av20221148369,1987,,časopisecké články;samizdatové časopisy;publicistika;literární tvorba,obsahy,Acta incognitorum [samizdat]
Novinky z kosmologie - model chaotické inflace :,"Brodský, Petr",av20191038199,1987,"Fridman, Aleksandr Aleksandrovič",kosmologie;vesmír;fyzika;euklidovské prostory;teorie velkého třesku,referáty,Acta incognitorum [samizdat]
Hodnocení možná pokračovací,"Kolínová, Blanka",js20081027001,1987,"Štampach, Odilo Ivan",stát;národ (kategorie);politika a vláda;totalitní režimy,polemiky,Acta incognitorum [samizdat]
K červnovým Actům,"Pavlovský, Petr",skuk0001560,1987,"Štampach, Odilo Ivan",stát;násilí;národ (kategorie);politika a vláda;sémantika,polemiky,Acta incognitorum [samizdat]
Proměnlivé léto,"Seman, Václav",av20201067999,1987,,učené společnosti;členové institucí a organizací;společenské salony;cesty a pobyt;společenský život;filmové festivaly a přehlídky,zprávy,Acta incognitorum [samizdat]
Bilanční zpráva o dvanácté sezóně,"Seman, Václav",av20201067999,1987,,samizdatové časopisy;redakční práce;časopisecké články;učené společnosti;společenský život;členové institucí a organizací;tabulky;časopisecké rubriky,zprávy;tabulky,Acta incognitorum [samizdat]
Zásadní prohlášení výkonného předsedy,"Štampach, Odilo Ivan",jn19990218116,1987,,učené společnosti;členové institucí a organizací;institucionální struktura;stanovy;soudy,prohlášení,Acta incognitorum [samizdat]
3. zpráva o stavu fotoarchívu,"Křížek, Leonid",jn99240000595,1987,,fotografie;archivy;učené společnosti;společenský život,soupisy;komentáře,Acta incognitorum [samizdat]
Přírůstky archívu za XII. sezónu,"Cieslar, Jiří",jn20000400416,1987,,archivy;archivnictví,zprávy,Acta incognitorum [samizdat]
Jaroslav Durych,"Eisner, Pavel",jk01030380,198u,"Durych, Jaroslav;<<z >>Valdštejna, Albrecht",čeští spisovatelé;čeští prozaici;čeští básníci;česká próza;historický román;třicetiletá válka (1618-1648);katolíci;katolicismus,přednášky,Jaroslav Durych : * 2. XII. 1886 [samizdat]
Chtěl bych být babou,"Durych, Jaroslav",jk01023358,198u,,,české prózy,Jaroslav Durych : * 2. XII. 1886 [samizdat]
Esthetika proletariátu,"Durych, Jaroslav",jk01023358,198u,,dělníci;komunismus;intelektuálové;umělecká literatura;literatura a politika;estetika,články,Jaroslav Durych : * 2. XII. 1886 [samizdat]
Prozatímní odpověď,"Štampach, Odilo Ivan",jn19990218116,1987,"Arendt, Hannah",stát;násilí;národ (kategorie);politika a vláda,polemiky,Acta incognitorum [samizdat]
Hranice světla,"Kučera, Pavel",av20191056690,1987,"Kępiński, Antoni",stáří;smrt;křesťanská víra,úvahy,Acta incognitorum [samizdat]
V podzimním hávu,"Seman, Václav",av20201067999,1987,,učené společnosti;členové institucí a organizací;společenské salony;společenský život;divadelní představení;filmové festivaly a přehlídky;samizdatové časopisy,zprávy;stanovy,Acta incognitorum [samizdat]
Filmy z Trutnova 87,"Seman, Václav",av20201067999,1987,,filmové festivaly a přehlídky;filmy,tabulky;komentáře,Acta incognitorum [samizdat]
Filmy z Rychnova 87,"Seman, Václav",av20201067999,1987,"Svěrák, Zdeněk;Smoljak, Ladislav",filmové festivaly a přehlídky;filmy,tabulky;komentáře,Acta incognitorum [samizdat]
Dvanáctiletá,"Durych, Jaroslav",jk01023358,198u,"Durych, Jaroslav",,české romány;biografické romány;historické romány;úryvky,Jaroslav Durych : * 2. XII. 1886 [samizdat]
Život blahoslavené Zdislavy,"Durych, Jaroslav",jk01023358,198u,"Zdislava;Durych, Jaroslav",světice,české prózy;biografické prózy;úryvky,Jaroslav Durych : * 2. XII. 1886 [samizdat]
Bloudění řecké princezny,"Durych, Jaroslav",jk01023358,198u,"Durych, Jaroslav",,české prózy;úryvky,Jaroslav Durych : * 2. XII. 1886 [samizdat]
Isabella,"Durych, Jaroslav",jk01023358,198u,"Durych, Jaroslav",,české romány;historické romány;úryvky,Jaroslav Durych : * 2. XII. 1886 [samizdat]
Memorandum,"Durych, Jaroslav",jk01023358,198u,,druhá světová válka (1939-1945);Češi;národní mentalita;morálka;Bůh a člověk;dobro a zlo;katolicismus,články,Jaroslav Durych : * 2. XII. 1886 [samizdat]
O významu bolesti v životě,"Durych, Jaroslav",jk01023358,198u,,bolest;lidské tělo;emoce;myšlení;morálka;etika;duchovní život;člověk a společnost,úvahy,Jaroslav Durych : * 2. XII. 1886 [samizdat]
Poděkování svatému Václavu,"Durych, Jaroslav",jk01023358,198u,Václav,světci;patroni;Češi,články,Jaroslav Durych : * 2. XII. 1886 [samizdat]
Tíže stop,"Durych, Jaroslav",jk01023358,198u,"Erben, Karel Jaromír",čeští básníci;české pohádky;česká próza;rytmus (fonetika);rytmus verše;metrum,úryvky;studie,Jaroslav Durych : * 2. XII. 1886 [samizdat]
Píseň beze slov,"Durych, Jaroslav",jk01023358,198u,,,české prózy,Jaroslav Durych : * 2. XII. 1886 [samizdat]
Několik poznámek k dílu Jaroslava Durycha,"Hora, Josef",jk01041989,198u,"Durych, Jaroslav;Březina, Otokar;Deml, Jakub",čeští prozaici;čeští básníci;katolická literatura;literární tvorba;literární náměty;katolicismus,poznámky,Jaroslav Durych : * 2. XII. 1886 [samizdat]
[Báseň a úryvek prózy],"Vinant, František",jn19981002333,1980,"Plocek, Vilém",,česká poezie;české prózy;úryvky,Znamení kotvy [samizdat]
[Rád vzpomínám na návštěvu Mistra Viléma Plocka...],"Pleva, Josef Věromír",jk01093439,1980,"Plocek, Vilém",výtvarní umělci;narozeniny,blahopřání,Znamení kotvy [samizdat]
O řece a lodi :,"Petiška, Eduard",jk01092720,1980,"Plocek, Vilém",,česká poezie,Znamení kotvy [samizdat]
[Básně],"Soupault, Philippe",jn20000605094,1980,"Plocek, Vilém",,francouzská poezie,Znamení kotvy [samizdat]
Pozdrav do Brandýsa,"Heyduk, Josef",jk01041005,1980,"Plocek, Vilém",výtvarní umělci;výtvarné umění;umělecká tvorba,vzpomínky,Znamení kotvy [samizdat]
Zátiší s oblohou a rybami :,"Hilčr, Jindřich",jk01041040,1980,"Plocek, Vilém",,česká poezie,Znamení kotvy [samizdat]
Místo fejtonu,"Denkstein, Vladimír",jk01022213,1980,"Plocek, Vilém;Hollar, Václav",výtvarní umělci;lepty;přístavy;moře;řeky;dary;narozeniny,dopisy;blahopřání,Znamení kotvy [samizdat]
Požehnané malé síně,"Branald, Adolf",jk01012955,1980,"Plocek, Vilém",výtvarní umělci;narozeniny;výtvarné umění;umělecká tvorba,články;blahopřání,Znamení kotvy [samizdat]
VP 75,"Kundera, Ludvík",jk01070892,1980,"Plocek, Vilém",,česká poezie,Znamení kotvy [samizdat]
Viléma hlídají andělé,"Hrabal, Bohumil",jk01042564,1980,"Plocek, Vilém",výtvarní umělci;výtvarné umění;umělecká tvorba;vzpomínky;řeky,články,Znamení kotvy [samizdat]
Znamení kotvy,,,1980,"Plocek, Vilém",výtvarní umělci;narozeniny;výročí;umělecká tvorba,sborníky;příležitostné texty;blahopřání;česká poezie;vzpomínky,
Dvakrát VP o sobě,"Plocek, Vilém",jn20000402008,1980,,malířství;výstavy;umělecká tvorba;dospívání,články;vzpomínky,Znamení kotvy [samizdat]
[Až v noci při úplňku],"Noha, Jan",jk01090222,1980,"Plocek, Vilém",,česká poezie;úryvky,Znamení kotvy [samizdat]
